[description:"test" due:"1706985000" end:"1707393268" entry:"1706976329" modified:"1707393268" status:"completed" tags:"fiitjee,jee" tags_fiitjee:"x" tags_jee:"x" uuid:"cd57572c-d0ac-491c-9ee0-05ee066bb881"]
[description:"L3" due:"1707503400" end:"1707393259" entry:"1707393237" modified:"1707393259" project:"math.fns" status:"completed" tags:"jee" tags_jee:"x" uuid:"f9dcc7d1-8c85-47aa-a7be-d01b243b2a1b"]
[description:"L1" due:"1707503400" end:"1707393242" entry:"1707393237" modified:"1707393242" project:"math.fns" status:"completed" tags:"jee" tags_jee:"x" uuid:"fb9eea4e-11f1-4b6e-ad06-0db92e2eb026"]
[description:"L2" due:"1707503400" end:"1707393245" entry:"1707393237" modified:"1707393245" project:"math.fns" status:"completed" tags:"jee" tags_jee:"x" uuid:"7999604d-52fc-455e-92ca-8c4588654827"]
[description:"L1" due:"1706898600" end:"1707393192" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"826e76a5-63bc-4b81-a25f-5c4cc24c216c"]
[description:"L2" due:"1706898600" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"ccfb336b-c3ea-4e73-be18-a498cec9c190"]
[description:"L3" due:"1706898600" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"f0d67b4b-aa99-432c-a8f2-5c86ace21f4a"]
[description:"L4" due:"1706898600" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"cf40da46-d9bb-47a1-9569-6f5a5cb1bcc1"]
[description:"L5" due:"1706898600" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"46681e71-b20d-4c03-8d27-c35874b26204"]
[description:"L6" due:"1706898600" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"e06d622d-31a4-4854-8b99-63bfc1d1784d"]
[description:"L7" due:"1706985000" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"335fd2cc-0fec-4e73-ad06-5ca2c377a108"]
[description:"L8" due:"1706985000" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"f9d0b518-a6df-47bc-bbeb-f3b7a141e7c2"]
[description:"L9" due:"1706985000" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"93d80d1a-eea6-4df1-9f02-0a7d2fef5716"]
[description:"L10" due:"1706985000" end:"1707393194" entry:"1706973773" modified:"1707393194" project:"physics.rotation" status:"deleted" tags:"jee" tags_jee:"x" uuid:"b3f93a06-bbac-41f2-81f2-e2347a8fb5b4"]
